t_s,x_m,y_m
6.412,0.019236,-0.002681524272453789
6.414,0.019242,-0.0026468736793048594
6.416,0.019248,-0.002610551264008579
6.418,0.019254,-0.0025725799685809613
6.42,0.01926,-0.0025329837765060525
6.422,0.019266,-0.0024917876975874484
6.424,0.019272,-0.0024490177521515407
6.426,0.019278,-0.002404700954612621
6.428,0.019284,-0.0023588652964098766
6.43,0.019289999999999998,-0.0023115397283273915
6.432,0.019296,-0.002262754142208311
6.434,0.019302,-0.0022125393520745244
6.436,0.019308,-0.002160927074663727
6.438,0.019313999999999998,-0.0021079499093965568
6.44,0.01932,-0.002053641317786048
6.442,0.019326,-0.001998035602302772
6.444,0.019332000000000002,-0.001941167884708354
6.446,0.019338,-0.0018830740838721265
6.448,0.019344,-0.0018237908930838116
6.45,0.019350000000000003,-0.0017633557568774185
6.452,0.019356,-0.0017018068473802727
6.454,0.019362,-0.001639183040202814
6.456,0.019368000000000003,-0.0015755238898838982
6.458,0.019374000000000002,-0.0015108696049072978
6.46,0.01938,-0.0014452610223051653
6.462,0.019386,-0.0013787395818644877
6.464,0.019392000000000003,-0.0013113472999527888
6.466,0.019398000000000002,-0.0012431267429798467
6.468,0.019404,-0.0011741210005116057
6.47,0.01941,-0.0011043736580540367
6.472,0.019416000000000003,-0.0010339287695235585
6.474,0.019422000000000002,-0.0009628308294216403
6.476,0.019428,-0.0008911247447311211
6.478,0.019434,-0.0008188558065519968
6.48,0.019440000000000002,-0.0007460696614945488
6.482,0.019446,-0.0006728122828481326
6.484,0.019452,-0.0005991299415432145
6.486,0.019458,-0.0005250691769258262
6.488,0.019464000000000002,-0.0004506767673622739
6.49,0.01947,-0.0003759997006929201
6.492,0.019476,-0.00030108514455365673
6.494,0.019482,-0.00022598041658381492
6.496,0.019488000000000002,-0.00015073295453928756
6.498,0.019494,-7.539028632999599e-05
6.5,0.0195,1.176403703945365e-17
6.502,0.019506,7.539028632997688e-05
6.5040000000000004,0.019512,0.00015073295453931106
6.506,0.019518,0.0002259804165837959
6.508,0.019524,0.0003010851445536377
6.51,0.01953,0.0003759997006929011
6.5120000000000005,0.019536,0.0004506767673622971
